Year,Disease,Neighborhood,Case Count,"Crude Rate per 100,000 Population","Age-Adjusted Rate per 100,000 Population"
2012,Acute hepatitis B,403 Flushing - Clearview,2,0.8,0.6
2012,Acute hepatitis B,404 Bayside - Littleneck,0,0,0
2012,Acute hepatitis B,405 Ridgewood - Forest Hills,1,0.4,0.4
2012,Acute hepatitis B,406 Fresh Meadows,1,1,1.1
2012,Acute hepatitis B,407 Southwest Queens,4,1.5,1.4
2012,Acute hepatitis B,408 Jamaica,3,1,1.1
2012,Acute hepatitis B,409 Southeast Queens,2,1,0.8
2012,Acute hepatitis B,410 Rockaway,0,0,0
2012,Acute hepatitis B,501 Port Richmond,0,0,0
2012,Acute hepatitis B,502 Stapleton - St. George,1,0.8,0.8
2012,Acute hepatitis B,503 Willowbrook,0,0,0
2012,Acute hepatitis B,504 South Beach - Tottenville,2,1.1,1
2013,Acute hepatitis B,101 Kingsbridge - Riverdale,0,0,0
2013,Acute hepatitis B,102 Northeast Bronx,2,1,1.2
2013,Acute hepatitis B,103 Fordham - Bronx Park,1,0.4,0.4
2013,Acute hepatitis B,104 Pelham - Throgs Neck,3,1,0.9
2013,Acute hepatitis B,105 Crotona - Tremont,1,0.5,0.5
2013,Acute hepatitis B,106 High Bridge - Morrisania,4,1.8,1.9
2013,Acute hepatitis B,107 Hunts Point - Mott Haven,0,0,0
2013,Acute hepatitis B,201 Greenpoint,0,0,0
2013,Acute hepatitis B,202 Downtown - Heights - Slope,2,0.9,0.6
2013,Acute hepatitis B,203 Bedford Stuyvesant - Crown Heights,2,0.6,0.6
2013,Acute hepatitis B,204 East New York,1,0.5,0.5
2013,Acute hepatitis B,205 Sunset Park,0,0,0
2013,Acute hepatitis B,206 Borough Park,0,0,0
2013,Acute hepatitis B,207 East Flatbush - Flatbush,1,0.3,0.3
2013,Acute hepatitis B,208 Canarsie - Flatlands,2,1,0.9
2013,Acute hepatitis B,209 Bensonhurst - Bay Ridge,2,0.9,0.8
2013,Acute hepatitis B,210 Coney Island - Sheepshead Bay,6,2,1.7
2013,Acute hepatitis B,211 Williamsburg - Bushwick,4,1.9,1.8
2013,Acute hepatitis B,301 Washington Heights - Inwood,0,0,0
